LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
GroupConvolution,aten::conv2d/GroupConvolution_4,0.0027,0.0000,0.0017,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x192x28x28) f32(192x1x1x3x3),f32(1x192x28x28)
Add,aten::conv2d/Add_13,0.0002,0.0000,0.0002,[auto_broadcast: numpy],f32(1x192x28x28) f32(1x192x1x1),f32(1x192x28x28)
Multiply,aten::conv2d/Convolution_9/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(32x192x1x1) f32(32x1x1x1),f32(32x192x1x1)
Convolution,aten::conv2d/Convolution_9,0.0096,0.0000,0.0061,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x28x28) f32(32x192x1x1),f32(1x32x28x28)
Add,aten::conv2d/Add_14,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x28x28) f32(1x32x1x1),f32(1x32x28x28)
Multiply,aten::conv2d/Convolution_10/fq_weights_1,0.0000,0.0000,0.0002,[auto_broadcast: numpy],f32(192x32x1x1) f32(192x1x1x1),f32(192x32x1x1)
Convolution,aten::conv2d/Convolution_10,0.0096,0.0000,0.0061,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x28x28) f32(192x32x1x1),f32(1x192x28x28)
Add,aten::conv2d/Add_15,0.0002,0.0000,0.0002,[auto_broadcast: numpy],f32(1x192x28x28) f32(1x192x1x1),f32(1x192x28x28)
Multiply,aten::conv2d/GroupConvolution_5/fq_weights_1,0.0000,0.0000,0.0002,[auto_broadcast: numpy],f32(192x1x1x3x3) f32(192x1x1x1x1),f32(192x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_5,0.0027,0.0000,0.0017,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x192x28x28) f32(192x1x1x3x3),f32(1x192x28x28)
Add,aten::conv2d/Add_16,0.0002,0.0000,0.0002,[auto_broadcast: numpy],f32(1x192x28x28) f32(1x192x1x1),f32(1x192x28x28)
Multiply,aten::conv2d/Convolution_11/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(32x192x1x1) f32(32x1x1x1),f32(32x192x1x1)
Convolution,aten::conv2d/Convolution_11,0.0096,0.0000,0.0061,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x28x28) f32(32x192x1x1),f32(1x32x28x28)
Add,aten::conv2d/Add_17,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(1x32x28x28) f32(1x32x1x1),f32(1x32x28x28)
Multiply,aten::conv2d/Convolution_12/fq_weights_1,0.0000,0.0000,0.0002,[auto_broadcast: numpy],f32(192x32x1x1) f32(192x1x1x1),f32(192x32x1x1)
Convolution,aten::conv2d/Convolution_12,0.0096,0.0000,0.0061,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x32x28x28) f32(192x32x1x1),f32(1x192x28x28)
Add,aten::conv2d/Add_18,0.0002,0.0000,0.0002,[auto_broadcast: numpy],f32(1x192x28x28) f32(1x192x1x1),f32(1x192x28x28)
Multiply,aten::conv2d/GroupConvolution_6/fq_weights_1,0.0000,0.0000,0.0002,[auto_broadcast: numpy],f32(192x1x1x3x3) f32(192x1x1x1x1),f32(192x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_6,0.0007,0.0000,0.0017,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x192x28x28) f32(192x1x1x3x3),f32(1x192x14x14)
Add,aten::conv2d/Add_19,0.0000,0.0000,0.0002,[auto_broadcast: numpy],f32(1x192x14x14) f32(1x192x1x1),f32(1x192x14x14)
Multiply,aten::conv2d/Convolution_13/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x192x1x1) f32(64x1x1x1),f32(64x192x1x1)
Convolution,aten::conv2d/Convolution_13,0.0048,0.0000,0.0123,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x192x14x14) f32(64x192x1x1),f32(1x64x14x14)
Add,aten::conv2d/Add_20,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x14x14) f32(1x64x1x1),f32(1x64x14x14)
Multiply,aten::conv2d/Convolution_14/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x64x1x1) f32(384x1x1x1),f32(384x64x1x1)
Convolution,aten::conv2d/Convolution_14,0.0096,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
Add,aten::conv2d/Add_21,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
Multiply,aten::conv2d/GroupConvolution_7/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x1x1x3x3) f32(384x1x1x1x1),f32(384x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_7,0.0014,0.0000,0.0035,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x1x3x3),f32(1x384x14x14)
Add,aten::conv2d/Add_22,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
Multiply,aten::conv2d/Convolution_15/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x384x1x1) f32(64x1x1x1),f32(64x384x1x1)
Convolution,aten::conv2d/Convolution_15,0.0096,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(64x384x1x1),f32(1x64x14x14)
Add,aten::conv2d/Add_23,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x14x14) f32(1x64x1x1),f32(1x64x14x14)
Multiply,aten::conv2d/Convolution_16/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x64x1x1) f32(384x1x1x1),f32(384x64x1x1)
Convolution,aten::conv2d/Convolution_16,0.0096,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
Add,aten::conv2d/Add_24,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
Multiply,aten::conv2d/GroupConvolution_8/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x1x1x3x3) f32(384x1x1x1x1),f32(384x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_8,0.0014,0.0000,0.0035,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x1x3x3),f32(1x384x14x14)
Add,aten::conv2d/Add_25,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
Multiply,aten::conv2d/Convolution_17/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x384x1x1) f32(64x1x1x1),f32(64x384x1x1)
Convolution,aten::conv2d/Convolution_17,0.0096,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(64x384x1x1),f32(1x64x14x14)
Add,aten::conv2d/Add_26,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x14x14) f32(1x64x1x1),f32(1x64x14x14)
Multiply,aten::conv2d/Convolution_18/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x64x1x1) f32(384x1x1x1),f32(384x64x1x1)
Convolution,aten::conv2d/Convolution_18,0.0096,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
Add,aten::conv2d/Add_27,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
Multiply,aten::conv2d/GroupConvolution_9/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x1x1x3x3) f32(384x1x1x1x1),f32(384x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_9,0.0014,0.0000,0.0035,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x384x14x14) f32(384x1x1x3x3),f32(1x384x14x14)
Add,aten::conv2d/Add_28,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
Multiply,aten::conv2d/Convolution_19/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(64x384x1x1) f32(64x1x1x1),f32(64x384x1x1)
Convolution,aten::conv2d/Convolution_19,0.0096,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x384x14x14) f32(64x384x1x1),f32(1x64x14x14)
Add,aten::conv2d/Add_29,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(1x64x14x14) f32(1x64x1x1),f32(1x64x14x14)
Multiply,aten::conv2d/Convolution_20/fq_weights_1,0.0000,0.0000,0.0004,[auto_broadcast: numpy],f32(384x64x1x1) f32(384x1x1x1),f32(384x64x1x1)
Convolution,aten::conv2d/Convolution_20,0.0096,0.0000,0.0246,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x64x14x14) f32(384x64x1x1),f32(1x384x14x14)
Add,aten::conv2d/Add_30,0.0001,0.0000,0.0004,[auto_broadcast: numpy],f32(1x384x14x14) f32(1x384x1x1),f32(1x384x14x14)
