LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,model.15.m.0.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_61,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.15.m.0.cv2.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_62,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.15.m.1.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_63,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.15.m.1.cv2.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_64,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.15.m.2.cv1.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_65,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.15.m.2.cv2.conv,7.5497,0.0000,0.2304,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x160x128x128) f32(160x160x3x3),f32(1x160x128x128)
Swish,model.0.act_66,0.0026,0.0000,0.0000,[],f32(1x160x128x128),f32(1x160x128x128)
Convolution,model.15.cv2.conv,8.3886,0.0000,0.2560,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x800x128x128) f32(320x800x1x1),f32(1x320x128x128)
Swish,model.0.act_67,0.0052,0.0000,0.0000,[],f32(1x320x128x128),f32(1x320x128x128)
Convolution,model.16.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x320x128x128) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_68,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Concat,model.17,0.0000,0.0000,0.0000,[],f32(1x320x64x64) f32(1x640x64x64),f32(1x960x64x64)
Convolution,model.18.cv1.conv,5.0332,0.0000,0.6144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x960x64x64) f32(640x960x1x1),f32(1x640x64x64)
Swish,model.0.act_69,0.0026,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x64x64)
